Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,10558.379883,10619.179688,10529.650391,10585.440430,10585.440430,23500
2017-10-24,10616.269531,10638.849609,10584.120117,10608.349609,10608.349609,25300
2017-10-25,10713.900391,10747.030273,10651.150391,10712.240234,10712.240234,91100
2017-10-26,10714.030273,10774.250000,10673.240234,10761.799805,10761.799805,62400
2017-10-27,10781.169922,10789.200195,10734.759766,10748.299805,10748.299805,66700
2017-10-30,10785.259766,10821.000000,10775.860352,10798.730469,10798.730469,40700
2017-10-31,10802.190430,10811.250000,10762.139648,10776.459961,10776.459961,49700
2017-11-01,10821.419922,10896.669922,10820.389648,10878.629883,10878.629883,52200
2017-11-02,10897.290039,10908.910156,10860.639648,10875.980469,10875.980469,54000
2017-11-03,10903.200195,10914.419922,10858.240234,10903.379883,10903.379883,242400
2017-11-06,10915.820313,10955.629883,10879.589844,10919.280273,10919.280273,45100
2017-11-07,10935.620117,10959.179688,10789.910156,10803.730469,10803.730469,50000
2017-11-08,10820.860352,10840.349609,10727.110352,10749.900391,10749.900391,308800
2017-11-09,10796.500000,10825.870117,10713.179688,10769.959961,10769.959961,44100
2017-11-10,10762.889648,10795.259766,10709.790039,10767.959961,10767.959961,48100
2017-11-13,10796.469727,10802.650391,10671.000000,10679.990234,10679.990234,45400
2017-11-14,10668.009766,10704.660156,10631.019531,10641.780273,10641.780273,38300
2017-11-15,10644.730469,10645.250000,10532.959961,10558.620117,10558.620117,37000
2017-11-16,10578.169922,10682.410156,10578.169922,10663.179688,10663.179688,29100
2017-11-17,10747.469727,10804.599609,10724.019531,10743.379883,10743.379883,35800
2017-11-20,10752.830078,10776.959961,10726.480469,10761.070313,10761.070313,32300
2017-11-21,10785.129883,10833.169922,10776.500000,10793.179688,10793.179688,37000
2017-11-22,10818.040039,10832.709961,10767.259766,10801.370117,10801.370117,32300
2017-11-23,10804.150391,10836.879883,10765.259766,10810.349609,10810.349609,28600
2017-11-24,10833.889648,10863.900391,10827.839844,10850.759766,10850.759766,25100
2017-11-27,10839.799805,10871.160156,10808.570313,10865.080078,10865.080078,30200
2017-11-28,10864.230469,10889.849609,10825.620117,10842.000000,10842.000000,26500
2017-11-29,10858.309570,10871.980469,10816.650391,10833.120117,10833.120117,27000
2017-11-30,10814.169922,10820.969727,10692.530273,10705.429688,10705.429688,32800
2017-12-01,10736.639648,10760.040039,10577.219727,10593.219727,10593.219727,29500
2017-12-04,10636.879883,10651.669922,10562.320313,10599.230469,10599.230469,23900
2017-12-05,10586.110352,10614.830078,10535.030273,10591.099609,10591.099609,24300
2017-12-06,10587.509766,10588.620117,10502.179688,10509.950195,10509.950195,23200
2017-12-07,10516.740234,10659.830078,10514.089844,10646.299805,10646.299805,24100
2017-12-08,10676.540039,10757.570313,10676.540039,10745.629883,10745.629883,47500
2017-12-11,10774.799805,10822.280273,10765.450195,10802.559570,10802.559570,23000
2017-12-12,10794.049805,10802.269531,10708.030273,10717.780273,10717.780273,39700
2017-12-13,10722.509766,10767.990234,10631.240234,10653.509766,10653.509766,43600
2017-12-14,10673.219727,10731.190430,10598.099609,10709.179688,10709.179688,23200
2017-12-15,10776.750000,10834.879883,10776.750000,10797.500000,10797.500000,35600
2017-12-18,10776.709961,10908.790039,10542.419922,10851.019531,10851.019531,50800
2017-12-19,10892.070313,10952.150391,10881.719727,10943.490234,10943.490234,40000
2017-12-20,10967.419922,10974.730469,10922.519531,10931.339844,10931.339844,40000
2017-12-21,10945.519531,10966.040039,10922.750000,10934.660156,10934.660156,64000
2017-12-22,10944.290039,10991.219727,10944.290039,10983.519531,10983.519531,31200
2017-12-26,10999.280273,11031.400391,10985.580078,11020.910156,11020.910156,27700
2017-12-27,11041.450195,11054.370117,10962.889648,10984.509766,10984.509766,30300
2017-12-28,10995.459961,11024.000000,10945.790039,10968.820313,10968.820313,23700
2017-12-29,10990.049805,11038.849609,10990.049805,11029.780273,11029.780273,28100
2018-01-01,null,null,null,null,null,null
2018-01-02,10988.370117,11009.099609,10906.200195,10947.169922,10947.169922,30000
2018-01-03,10981.959961,11021.839844,10947.160156,10956.709961,10956.709961,23200
2018-01-04,10990.790039,11031.450195,10957.030273,11023.549805,11023.549805,27600
2018-01-05,11046.450195,11101.980469,11046.320313,11093.809570,11093.809570,40900
2018-01-08,11117.059570,11176.230469,11117.059570,11166.219727,11166.219727,39200
2018-01-09,11187.320313,11204.879883,11144.219727,11175.629883,11175.629883,35000
2018-01-10,11204.179688,11211.969727,11131.209961,11163.809570,11163.809570,28700
2018-01-11,11175.219727,11200.360352,11148.160156,11184.379883,11184.379883,27600
2018-01-12,11207.639648,11227.839844,11118.190430,11204.580078,11204.580078,27700
2018-01-15,11234.719727,11306.070313,11234.610352,11254.259766,11254.259766,37900
2018-01-16,11267.389648,11282.450195,11178.450195,11190.509766,11190.509766,86600
2018-01-17,11190.309570,11293.360352,11135.559570,11282.000000,11282.000000,56500
2018-01-18,11355.219727,11384.110352,11231.780273,11272.940430,11272.940430,40100
2018-01-19,11294.059570,11364.910156,11255.769531,11353.799805,11353.799805,51900
2018-01-22,11381.219727,11443.620117,11345.889648,11434.660156,11434.660156,29900
2018-01-23,11461.450195,11556.200195,11460.519531,11547.459961,11547.459961,81000
2018-01-24,11554.679688,11580.950195,11509.230469,11543.839844,11543.839844,57100
2018-01-25,11560.040039,11569.080078,11440.780273,11493.099609,11493.099609,39400
2018-01-29,11510.030273,11595.009766,11507.200195,11541.400391,11541.400391,41600
2018-01-30,11537.530273,11543.490234,11448.690430,11462.860352,11462.860352,41700
2018-01-31,11442.540039,11466.190430,11366.530273,11419.070313,11419.070313,62400
2018-02-01,11445.070313,11495.889648,11250.849609,11400.030273,11400.030273,49200
2018-02-02,11339.940430,11342.669922,11096.730469,11115.450195,11115.450195,45100
2018-02-05,11007.320313,11064.929688,10931.110352,11036.410156,11036.410156,46000
2018-02-06,10727.519531,10946.730469,10619.080078,10854.750000,10854.750000,52700
2018-02-07,10967.379883,10996.179688,10816.169922,10838.000000,10838.000000,37400
2018-02-08,10870.219727,11013.690430,10848.360352,10958.389648,10958.389648,54600
2018-02-09,10825.910156,10875.660156,10776.730469,10851.719727,10851.719727,31200
2018-02-12,10911.559570,10961.849609,10888.650391,10946.650391,10946.650391,34900
2018-02-14,10992.440430,11002.469727,10873.080078,10912.230469,10912.230469,46000
2018-02-15,10929.709961,11017.519531,10903.530273,10937.419922,10937.419922,44000
2018-02-16,10975.719727,11008.919922,10819.809570,10837.839844,10837.839844,57400
2018-02-19,10851.830078,10867.799805,10676.669922,10749.629883,10749.629883,46900
2018-02-20,10778.719727,10811.780273,10729.730469,10742.660156,10742.660156,49900
2018-02-21,10776.959961,10806.620117,10728.259766,10769.179688,10769.179688,39100
2018-02-22,10756.330078,10760.200195,10713.540039,10739.339844,10739.339844,33100
2018-02-23,10748.490234,10864.469727,10747.589844,10856.549805,10856.549805,43200
